frame,time_s,left_h_m,left_h_raw_m,left_conf,right_h_m,right_h_raw_m,right_conf
0,0.0,1.9991,1.9991,1.0,1.9998,1.9998,1.0
1,0.0167,1.999,1.9992,0.999,1.9998,1.9998,0.996
2,0.0333,1.999,1.9991,0.998,1.9998,1.9998,0.994
3,0.05,1.999,1.999,0.998,1.9998,1.9998,0.993
4,0.0667,1.999,1.9989,0.997,1.9997,1.9997,0.991
5,0.0833,1.9989,1.9989,0.997,1.9997,1.9997,0.99
6,0.1,1.9989,1.9988,0.996,1.9997,1.9997,0.989
7,0.1167,1.9989,1.9988,0.996,1.9997,1.9997,0.988
8,0.1333,1.9988,1.9988,0.996,1.9997,1.9997,0.988
9,0.15,1.9988,1.9988,0.996,1.9997,1.9997,0.987
10,0.1667,1.9988,1.9988,0.995,1.9997,1.9997,0.987
11,0.1833,1.9988,1.9988,0.995,1.9997,1.9997,0.987
12,0.2,1.9988,1.9987,0.995,1.9997,1.9996,0.987
13,0.2167,1.9988,1.9987,0.995,1.9997,1.9996,0.987
14,0.2333,1.9988,1.9988,0.995,1.9997,1.9997,0.987
15,0.25,1.9988,1.9988,0.995,1.9997,1.9997,0.987
16,0.2667,1.9988,1.9988,0.995,1.9997,1.9997,0.987
17,0.2833,1.9988,1.9988,0.995,1.9997,1.9997,0.987
18,0.3,1.9988,1.9988,0.995,1.9997,1.9998,0.987
19,0.3167,1.9988,1.9988,0.995,1.9997,1.9998,0.987
20,0.3333,1.9988,1.9988,0.995,1.9997,1.9997,0.986
21,0.35,1.9989,1.9988,0.995,1.9997,1.9997,0.986
22,0.3667,1.9989,1.9988,0.995,1.9997,1.9997,0.986
23,0.3833,1.9989,1.9988,0.995,1.9997,1.9997,0.986
24,0.4,1.999,1.999,0.995,1.9997,1.9997,0.986
25,0.4167,1.999,1.999,0.995,1.9998,1.9997,0.986
26,0.4333,1.9991,1.9992,0.995,1.9998,1.9998,0.986
27,0.45,1.9991,1.9992,0.995,1.9998,1.9998,0.986
28,0.4667,1.9992,1.9992,0.995,1.9998,1.9999,0.986
29,0.4833,1.9992,1.9992,0.995,1.9999,1.9999,0.986
30,0.5,1.9992,1.9993,0.995,1.9999,2.0,0.987
31,0.5167,1.9992,1.9993,0.995,1.9999,2.0,0.987
32,0.5333,1.9993,1.9993,0.995,1.9999,1.9999,0.986
33,0.55,1.9993,1.9993,0.995,1.9999,1.9999,0.986
34,0.5667,1.9993,1.9992,0.995,1.9999,1.9999,0.986
35,0.5833,1.9992,1.9992,0.995,1.9999,1.9999,0.986
36,0.6,1.9992,1.9993,0.995,1.9999,1.9999,0.986
37,0.6167,1.9992,1.9993,0.995,1.9999,1.9999,0.986
38,0.6333,1.9992,1.9992,0.995,1.9999,1.9999,0.986
39,0.65,1.9993,1.9992,0.995,1.9999,1.9999,0.986
40,0.6667,1.9993,1.9992,0.995,1.9999,1.9998,0.986
41,0.6833,1.9993,1.9992,0.995,1.9999,1.9998,0.986
42,0.7,1.9994,1.9995,0.995,1.9999,1.9999,0.986
43,0.7167,1.9994,1.9995,0.995,1.9999,1.9999,0.986
44,0.7333,1.9995,1.9995,0.995,1.9999,1.9999,0.986
45,0.75,1.9996,1.9995,0.995,2.0,1.9999,0.986
46,0.7667,1.9996,1.9996,0.994,2.0,2.0,0.986
47,0.7833,1.9996,1.9997,0.994,2.0,2.0,0.986
48,0.8,1.9997,1.9997,0.994,2.0,2.0001,0.985
49,0.8167,1.9997,1.9998,0.994,2.0,2.0001,0.985
50,0.8333,1.9997,1.9997,0.994,2.0001,2.0001,0.985
51,0.85,1.9997,1.9997,0.994,2.0001,2.0001,0.985
52,0.8667,1.9997,1.9997,0.994,2.0,2.0001,0.985
53,0.8833,1.9997,1.9997,0.994,2.0,2.0001,0.985
54,0.9,1.9997,1.9997,0.994,2.0,2.0,0.985
55,0.9167,1.9997,1.9997,0.994,1.9999,2.0,0.985
56,0.9333,1.9998,1.9996,0.994,1.9999,1.9997,0.985
57,0.95,1.9998,1.9996,0.994,1.9999,1.9997,0.985
58,0.9667,1.9999,1.9999,0.993,1.9999,1.9998,0.985
59,0.9833,2.0,1.9999,0.993,1.9999,1.9998,0.985
60,1.0,2.0,2.0002,0.992,1.9999,2.0,0.986
61,1.0167,2.0001,2.0002,0.992,2.0,2.0,0.986
62,1.0333,2.0001,2.0002,0.992,2.0,2.0,0.986
63,1.05,2.0002,2.0002,0.992,2.0,2.0001,0.986
64,1.0667,2.0002,2.0002,0.992,2.0,2.0001,0.986
65,1.0833,2.0002,2.0002,0.992,2.0,2.0001,0.986
66,1.1,2.0002,2.0002,0.992,2.0,2.0,0.986
67,1.1167,2.0002,2.0001,0.992,2.0,2.0,0.986
68,1.1333,2.0002,2.0001,0.992,2.0001,2.0,0.986
69,1.15,2.0002,2.0001,0.992,2.0001,2.0,0.986
70,1.1667,2.0002,2.0002,0.991,2.0001,2.0001,0.986
71,1.1833,2.0002,2.0002,0.991,2.0001,2.0001,0.986
72,1.2,2.0002,2.0002,0.991,2.0001,2.0001,0.985
73,1.2167,2.0002,2.0002,0.991,2.0001,2.0001,0.985
74,1.2333,2.0002,2.0003,0.991,2.0001,2.0001,0.985
75,1.25,2.0003,2.0003,0.99,2.0001,2.0001,0.985
76,1.2667,2.0003,2.0003,0.99,2.0001,2.0001,0.984
77,1.2833,2.0003,2.0003,0.99,2.0001,2.0001,0.984
78,1.3,2.0003,2.0003,0.99,2.0001,2.0001,0.984
79,1.3167,2.0003,2.0003,0.99,2.0001,2.0001,0.984
80,1.3333,2.0003,2.0003,0.989,2.0001,2.0001,0.984
81,1.35,2.0003,2.0003,0.989,2.0001,2.0001,0.984
82,1.3667,2.0004,2.0004,0.989,2.0001,2.0001,0.984
83,1.3833,2.0004,2.0004,0.989,2.0001,2.0001,0.984
84,1.4,2.0005,2.0005,0.988,2.0001,2.0001,0.984
85,1.4167,2.0005,2.0005,0.988,2.0001,2.0001,0.983
86,1.4333,2.0005,2.0006,0.987,2.0001,2.0002,0.984
87,1.45,2.0005,2.0006,0.987,2.0001,2.0002,0.984
88,1.4667,2.0005,2.0006,0.987,2.0001,2.0002,0.984
89,1.4833,2.0004,2.0006,0.987,2.0001,2.0002,0.984
90,1.5,2.0004,2.0003,0.988,2.0001,2.0001,0.985
91,1.5167,2.0003,2.0003,0.988,2.0001,2.0001,0.985
92,1.5333,2.0003,2.0002,0.989,2.0,2.0,0.985
93,1.55,2.0002,2.0002,0.989,2.0,2.0,0.985
94,1.5667,2.0002,2.0001,0.989,2.0,1.9999,0.984
95,1.5833,2.0002,2.0001,0.989,2.0,1.9999,0.984
96,1.6,2.0002,2.0001,0.989,2.0,1.9999,0.984
97,1.6167,2.0003,2.0001,0.989,2.0,1.9999,0.984
98,1.6333,2.0003,2.0003,0.989,2.0,1.9999,0.983
99,1.65,2.0003,2.0003,0.989,2.0,1.9999,0.983
100,1.6667,2.0004,2.0005,0.987,2.0,2.0001,0.983
101,1.6833,2.0004,2.0006,0.987,2.0001,2.0001,0.983
102,1.7,2.0004,2.0005,0.988,2.0001,2.0002,0.982
103,1.7167,2.0005,2.0005,0.988,2.0001,2.0002,0.982
104,1.7333,2.0005,2.0005,0.988,2.0001,2.0002,0.982
105,1.75,2.0005,2.0005,0.988,2.0002,2.0002,0.982
106,1.7667,2.0004,2.0004,0.988,2.0002,2.0001,0.983
107,1.7833,2.0004,2.0004,0.988,2.0002,2.0001,0.983
108,1.8,2.0004,2.0004,0.988,2.0002,2.0002,0.982
109,1.8167,2.0004,2.0004,0.988,2.0001,2.0002,0.982
110,1.8333,2.0004,2.0004,0.988,2.0001,2.0001,0.982
111,1.85,2.0004,2.0004,0.988,2.0001,2.0001,0.982
112,1.8667,2.0004,2.0004,0.988,2.0001,2.0001,0.982
113,1.8833,2.0004,2.0004,0.988,2.0001,2.0001,0.982
114,1.9,2.0005,2.0005,0.987,2.0002,2.0001,0.982
115,1.9167,2.0005,2.0005,0.987,2.0002,2.0001,0.982
116,1.9333,2.0005,2.0005,0.987,2.0002,2.0002,0.982
117,1.95,2.0006,2.0005,0.987,2.0002,2.0001,0.982
118,1.9667,2.0006,2.0008,0.986,2.0002,2.0003,0.981
119,1.9833,2.0006,2.0008,0.986,2.0002,2.0003,0.981
120,2.0,2.0005,2.0006,0.988,2.0002,2.0003,0.983
121,2.0167,2.0005,2.0006,0.988,2.0002,2.0003,0.983
122,2.0333,2.0005,2.0004,0.989,2.0002,2.0002,0.983
123,2.05,2.0005,2.0004,0.989,2.0002,2.0002,0.983
124,2.0667,2.0004,2.0004,0.989,2.0002,2.0002,0.983
125,2.0833,2.0004,2.0004,0.989,2.0002,2.0002,0.983
126,2.1,2.0004,2.0004,0.989,2.0002,2.0002,0.983
127,2.1167,2.0004,2.0004,0.989,2.0002,2.0002,0.983
128,2.1333,2.0004,2.0004,0.99,2.0002,2.0002,0.983
129,2.15,2.0004,2.0004,0.99,2.0002,2.0002,0.983
130,2.1667,2.0004,2.0004,0.99,2.0002,2.0002,0.983
131,2.1833,2.0004,2.0004,0.99,2.0002,2.0002,0.983
132,2.2,2.0004,2.0004,0.99,2.0002,2.0002,0.983
133,2.2167,2.0003,2.0004,0.99,2.0002,2.0002,0.983
134,2.2333,2.0003,2.0003,0.99,2.0002,2.0002,0.983
135,2.25,2.0003,2.0003,0.99,2.0002,2.0002,0.983
136,2.2667,2.0003,2.0002,0.99,2.0001,2.0001,0.984
137,2.2833,2.0003,2.0002,0.99,2.0001,2.0001,0.984
138,2.3,2.0003,2.0002,0.991,2.0001,2.0001,0.984
139,2.3167,2.0003,2.0002,0.991,2.0001,2.0001,0.984
140,2.3333,2.0003,2.0002,0.991,2.0001,2.0,0.984
141,2.35,2.0003,2.0002,0.991,2.0001,2.0,0.984
142,2.3667,2.0003,2.0004,0.99,2.0001,2.0001,0.985
143,2.3833,2.0003,2.0004,0.99,2.0001,2.0001,0.985
144,2.4,2.0003,2.0004,0.99,2.0001,2.0001,0.984
145,2.4167,2.0003,2.0004,0.99,2.0001,2.0001,0.984
146,2.4333,2.0003,2.0004,0.99,2.0001,2.0002,0.984
147,2.45,2.0003,2.0004,0.99,2.0001,2.0002,0.984
148,2.4667,2.0002,2.0002,0.991,2.0001,2.0001,0.984
149,2.4833,2.0002,2.0002,0.991,2.0001,2.0001,0.984
150,2.5,2.0002,2.0,0.992,2.0001,2.0001,0.986
151,2.5167,2.0001,2.0,0.992,2.0001,2.0001,0.985
152,2.5333,2.0001,2.0,0.992,2.0001,2.0001,0.986
153,2.55,2.0001,2.0001,0.992,2.0001,2.0001,0.985
154,2.5667,2.0,2.0,0.992,2.0,2.0,0.985
155,2.5833,2.0001,2.0,0.992,2.0,2.0,0.985
156,2.6,2.0001,2.0001,0.992,2.0,2.0,0.985
157,2.6167,2.0001,2.0001,0.992,2.0,2.0,0.985
158,2.6333,2.0001,2.0001,0.991,2.0,2.0,0.984
159,2.65,2.0001,2.0001,0.991,2.0,2.0,0.984
160,2.6667,2.0002,2.0002,0.991,2.0,2.0001,0.984
161,2.6833,2.0002,2.0002,0.991,2.0001,2.0001,0.984
162,2.7,2.0002,2.0002,0.991,2.0001,2.0001,0.984
163,2.7167,2.0002,2.0002,0.991,2.0001,2.0001,0.984
164,2.7333,2.0002,2.0002,0.991,2.0001,2.0001,0.984
165,2.75,2.0002,2.0002,0.991,2.0001,2.0001,0.984
166,2.7667,2.0002,2.0002,0.991,2.0001,2.0001,0.983
167,2.7833,2.0002,2.0002,0.991,2.0001,2.0001,0.983
168,2.8,2.0002,2.0001,0.991,2.0001,2.0001,0.983
169,2.8167,2.0001,2.0001,0.991,2.0001,2.0001,0.983
170,2.8333,2.0001,2.0001,0.991,2.0001,2.0001,0.982
171,2.85,2.0001,2.0001,0.991,2.0001,2.0001,0.982
172,2.8667,2.0001,2.0,0.991,2.0,2.0,0.982
173,2.8833,2.0001,2.0,0.991,2.0,2.0,0.982
174,2.9,2.0,2.0,0.991,2.0,2.0,0.981
175,2.9167,2.0,2.0,0.991,2.0,2.0,0.981
176,2.9333,2.0001,2.0001,0.991,2.0,2.0,0.98
177,2.95,2.0001,2.0001,0.991,2.0001,2.0,0.98
178,2.9667,2.0001,2.0001,0.991,2.0001,2.0,0.98
179,2.9833,2.0001,2.0001,0.991,2.0001,2.0,0.98
180,3.0,2.0001,2.0002,0.99,2.0001,2.0002,0.979
181,3.0167,2.0001,2.0002,0.99,2.0001,2.0002,0.979
182,3.0333,2.0001,2.0001,0.991,2.0001,2.0002,0.979
183,3.05,2.0,2.0001,0.991,2.0001,2.0002,0.979
184,3.0667,2.0,2.0,0.991,2.0001,2.0001,0.979
185,3.0833,2.0,2.0,0.991,2.0001,2.0001,0.979
186,3.1,2.0,1.9999,0.991,2.0001,2.0001,0.978
187,3.1167,2.0,1.9999,0.991,2.0001,2.0001,0.978
188,3.1333,2.0001,1.9999,0.991,2.0001,2.0,0.978
189,3.15,2.0001,1.9999,0.991,2.0001,2.0,0.978
190,3.1667,2.0002,2.0003,0.989,2.0001,2.0,0.977
191,3.1833,2.0002,2.0003,0.989,2.0002,2.0,0.977
192,3.2,2.0003,2.0004,0.988,2.0003,2.0002,0.975
193,3.2167,2.0004,2.0004,0.988,2.0004,2.0002,0.975
194,3.2333,2.0004,2.0005,0.988,2.0004,2.0006,0.97
195,3.25,2.0004,2.0005,0.988,2.0005,2.0006,0.97
196,3.2667,2.0003,2.0006,0.987,2.0005,2.0007,0.969
197,3.2833,2.0003,2.0006,0.987,2.0005,2.0007,0.969
198,3.3,2.0002,2.0002,0.989,2.0005,2.0006,0.97
199,3.3167,2.0002,2.0001,0.989,2.0004,2.0006,0.97
200,3.3333,2.0002,1.9997,0.99,2.0004,2.0001,0.974
201,3.35,2.0002,1.9997,0.99,2.0003,2.0001,0.973
202,3.3667,2.0002,2.0,0.99,2.0003,2.0001,0.973
203,3.3833,2.0002,2.0,0.99,2.0002,2.0001,0.973
204,3.4,2.0003,2.0006,0.987,2.0002,2.0003,0.972
205,3.4167,2.0004,2.0006,0.987,2.0003,2.0003,0.972
206,3.4333,2.0005,2.0006,0.987,2.0003,2.0003,0.973
207,3.45,2.0005,2.0006,0.987,2.0003,2.0004,0.973
208,3.4667,2.0006,2.0007,0.987,2.0004,2.0005,0.972
209,3.4833,2.0006,2.0007,0.987,2.0004,2.0005,0.972
210,3.5,2.0006,2.0005,0.988,2.0004,2.0004,0.973
211,3.5167,2.0006,2.0005,0.988,2.0005,2.0004,0.973
212,3.5333,2.0006,2.0005,0.988,2.0005,2.0005,0.973
213,3.55,2.0006,2.0006,0.988,2.0005,2.0005,0.972
214,3.5667,2.0006,2.0006,0.987,2.0005,2.0006,0.973
215,3.5833,2.0006,2.0006,0.987,2.0005,2.0006,0.973
216,3.6,2.0006,2.0006,0.987,2.0005,2.0006,0.974
217,3.6167,2.0006,2.0006,0.987,2.0005,2.0006,0.974
218,3.6333,2.0006,2.0006,0.988,2.0006,2.0006,0.974
219,3.65,2.0007,2.0006,0.988,2.0006,2.0006,0.974
220,3.6667,2.0007,2.0006,0.988,2.0006,2.0005,0.976
221,3.6833,2.0008,2.0006,0.988,2.0006,2.0005,0.976
222,3.7,2.0008,2.0007,0.988,2.0007,2.0005,0.975
223,3.7167,2.0009,2.0007,0.988,2.0007,2.0005,0.975
224,3.7333,2.001,2.0012,0.985,2.0008,2.0008,0.971
225,3.75,2.001,2.0012,0.985,2.0008,2.0008,0.971
226,3.7667,2.0011,2.0013,0.984,2.0009,2.0011,0.967
227,3.7833,2.0011,2.0013,0.984,2.0009,2.0011,0.966
228,3.8,2.0011,2.0011,0.985,2.001,2.001,0.965
229,3.8167,2.0011,2.0011,0.985,2.001,2.001,0.965
230,3.8333,2.0011,2.0011,0.984,2.001,2.0011,0.962
